StudyID,Drug_Name,Arm_ID,Date_End,Results_Posted_Or_Updated_Date,Study_Status,Outcome,Termination,No_Amendment,No_Substan_Amend,No_Sub_Screen,No_Sub_Enroll,Screen_Failure,Reasons_Screen_Fail,Enroll_Rate,Time_FPI,Prop_Center_Enroll_Target,Completer,Withdrawer,Discont_AE,Discont_LE,Loss_FU,Protocol_Viol,Treat_Adherence,Visit_Adherence,Assess_Adherence,Med_Treat,Med_Follow_Up,Discont,Med_Discont,Missing_All,Missing_PE,Missing_Key_SE,Med_Age,Min_Age,Max_Age,Prop_NA,Prop_AP,Prop_EU,Prop_AF,Prop_White,Prop_Asian,Prop_Black,Prop_Male,Heter_Index,Prop_Renal,Prop_Hepatic,Prop_HighRisk,Line0,Line1,Line2,Line3,Lapsed,Refractory,Prop_ECOG0,Prop_ECOG1,Prop_ECOG2,Prop_ECOG3,TEAEs,TRAEs,SAEs,Grade34_TEAEs,Grade34_TRAEs,AE_Spec,Inc_TEAES,Inc_Grade34_TEAEs,Grade34_Lab,Death_rate,No_Dosage,Dosage_Level,Dosing_Frequency,Cycle_Length,Formulation,group_id_raw,group_title_raw,group_desc_raw,N_group,count_male,count_female,count_white,count_black,count_asian,count_other,Missing_K
NCT01295827,Pembrolizumab,NCT01295827_A1,"December 11, 2018","December 13, 2019",Completed,,,,,,4,,,,,,,,,,,,,,,,,,,,,,71,18,,,,,,1,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,Solid Tumors: Pembrolizumab 1 mg/kg Q2W (Part A),During Cycle 1 participants received a dose of 1 mg/kg pembrolizumab IV infusion over 30 minutes on Day 1 of a 28-day cycle for evaluation of dose-limiting toxicities and pharmacokinetics. Participants received pembrolizumab IV at a dose of 1 mg/kg Q2W starting with Cycle 2.,4,1,3,4,0,0,0,5
NCT01295827,Pembrolizumab,NCT01295827_A2,"December 11, 2018","December 13, 2019",Completed,,,,,,3,,,,,,,,,,,,,,,,,,,,,,76,18,,,,,,1,0,0,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,Solid Tumors: Pembrolizumab 3 mg/kg Q2W (Part A),During Cycle 1 participants received a dose of 3 mg/kg pembrolizumab IV infusion over 30 minutes on Day 1 of a 28-day cycle for evaluation of dose-limiting toxicities and pharmacokinetics. Participants received pembrolizumab IV at a dose of 3 mg/kg Q2W starting with Cycle 2.,3,1,2,3,0,0,0,5
NCT01295827,Pembrolizumab,NCT01295827_A3,"December 11, 2018","December 13, 2019",Completed,,,,,,12,,,,,,,,,,,,,,,,,,,,,,62.7,18,,,,,,1,0,0,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3,Solid Tumors: Pembrolizumab 10 mg/kg Q2W (Parts A+A1),During Cycle 1 participants received a dose of 10 mg/kg pembrolizumab IV infusion over 30 minutes on Day 1 of a 28-day cycle for evaluation of dose-limiting toxicities and pharmacokinetics. Participants received pembrolizumab IV at a dose of 10 mg/kg Q2W starting with Cycle 2.,12,9,3,12,0,0,0,5
NCT01295827,Pembrolizumab,NCT01295827_A4,"December 11, 2018","December 13, 2019",Completed,,,,,,4,,,,,,,,,,,,,,,,,,,,,,53.8,18,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4,Solid Tumors: Pembrolizumab Titration Cohort 1 Q3W (Part A2),"During Cycle 1 participants received pembrolizumab dose titration from 0.005 mg/kg to 0.3 mg/kg to 2.0 mg/kg on Days 1, 8, and 22, administered as an IV infusion over 30 minutes. Participants received 2 mg/kg every 3 weeks (Q3W) starting with Cycle 2.",4,4,0,4,0,0,0,5
NCT01295827,Pembrolizumab,NCT01295827_A5,"December 11, 2018","December 13, 2019",Completed,,,,,,3,,,,,,,,,,,,,,,,,,,,,,53.3,18,,,,,,0.6667,0,0.3333,1,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B5,Solid Tumors: Pembrolizumab Titration Cohort 2 Q3W (Part A2),"During Cycle 1 participants received pembrolizumab dose titration from 0.02 mg/kg to 0.3 mg/kg to 2.0 mg/kg on Days 1, 8, and 22, administered as an IV infusion over 30 minutes. Participants received 2 mg/kg Q3W starting with Cycle 2.",3,3,0,2,1,0,0,5
NCT01295827,Pembrolizumab,NCT01295827_A6,"December 11, 2018","December 13, 2019",Completed,,,,,,6,,,,,,,,,,,,,,,,,,,,,,69,18,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B6,Solid Tumors: Pembrolizumab Titration Cohort 3 Q3W (Part A2),"During Cycle 1 participants received pembrolizumab dose titration from 0.06 mg/kg to 1.0 mg/kg to 10 mg/kg on Days 1, 8, and 22, administered as an IV infusion over 30 minutes. Participants received 10 mg/kg Q3W starting with Cycle 2.",6,6,0,6,0,0,0,5
NCT01295827,Pembrolizumab,NCT01295827_A7,"December 11, 2018","December 13, 2019",Completed,,,,,,164,,,,,,,,,,,,,,,,,,,,,,57.9,18,,,,,,0.9817,0.0122,0.0061,0.5793,0.0361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7,MEL: Pembrolizumab 2 mg/kg Q3W (Parts B+D),"Participants received pembrolizumab IV at a dose of 2 mg/kg Q2W. After Amendment 3, participants received dosing Q3W. After Amendment 10, all remaining and ongoing participants were treated with a 200 mg fixed dose of pembrolizumab IV Q3W based on analysis of safety and efficacy data.",164,95,69,161,1,2,0,5
NCT01295827,Pembrolizumab,NCT01295827_A8,"December 11, 2018","December 13, 2019",Completed,,,,,,321,,,,,,,,,,,,,,,,,,,,,,60.5,18,,,,,,0.9657,0.0187,0.0062,0.6106,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8,MEL: Pembrolizumab 10 mg/kg Q3W (Parts B+D),"Participants received pembrolizumab IV at a dose of 10 mg/kg Q2W. After Amendment 7, participants received dosing Q3W. After Amendment 10, all remaining and ongoing participants were treated with a 200 mg fixed dose of pembrolizumab IV Q3W based on analysis of safety and efficacy data.",321,196,125,310,2,6,1,5
NCT01295827,Pembrolizumab,NCT01295827_A9,"December 11, 2018","December 13, 2019",Completed,,,,,,183,,,,,,,,,,,,,,,,,,,,,,60.1,18,,,,,,0.9727,0.0109,0.0109,0.3333,0.0536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B9,MEL: Pembrolizumab 10 mg/kg Q2W (Part B),"Participants received pembrolizumab IV at a dose of 10 mg/kg Q2W. After Amendment 10, all remaining and ongoing participants were treated with a 200 mg fixed dose of pembrolizumab IV Q3W based on analysis of safety and efficacy data.",183,61,122,178,2,2,1,5
NCT01295827,Pembrolizumab,NCT01295827_A10,"December 11, 2018","December 13, 2019",Completed,,,,,,61,,,,,,,,,,,,,,,,,,,,,,61.9,18,,,,,,0.8689,0.0984,0,0.5246,0.2352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B10,NSCLC: Pembrolizumab 2 mg/kg Q3W (Part F),"Participants received pembrolizumab IV at a dose of 2 mg/kg Q3W. After Amendment 10, all remaining and ongoing participants were treated with a 200 mg fixed dose of pembrolizumab IV Q3W based on analysis of safety and efficacy data.",61,32,29,53,0,6,1,5
NCT01295827,Pembrolizumab,NCT01295827_A11,"December 11, 2018","December 13, 2019",Completed,,,,,,296,,,,,,,,,,,,,,,,,,,,,,61.8,18,,,,,,0.8007,0.1554,0.0405,0.5101,0.3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B11,NSCLC: Pembrolizumab 10 mg/kg Q3W (Parts C+F),"Participants received pembrolizumab IV at a dose of 10 mg/kg Q3W. After Amendment 10, all remaining and ongoing participants were treated with a 200 mg fixed dose of pembrolizumab IV Q3W based on analysis of safety and efficacy data.",296,151,145,237,12,46,0,5
NCT01295827,Pembrolizumab,NCT01295827_A12,"December 11, 2018","December 13, 2019",Completed,,,,,,203,,,,,,,,,,,,,,,,,,,,,,63,18,,,,,,0.8571,0.0936,0.0394,0.5517,0.2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B12,NSCLC: Pembrolizumab 10 mg/kg Q2W (Part F),"Participants received pembrolizumab IV at a dose of 10 mg/kg Q2W. After Amendment 10, all remaining and ongoing participants were treated with a 200 mg fixed dose of pembrolizumab IV Q3W based on analysis of safety and efficacy data.",203,112,91,174,8,19,2,5
NCT01295827,Pembrolizumab,NCT01295827_A13,"December 11, 2018","December 13, 2019",Completed,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P13,NSCLC: Pembrolizumab 2 mg/kg Q3W (Part E-Not Enrolled),Participants were to receive pembrolizumab IV at a dose of 2 mg/kg Q3W. No participants were enrolled in this arm.,,,,,,,,11
NCT01295827,Pembrolizumab,NCT01295827_A14,"December 11, 2018","December 13, 2019",Completed,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P14,NSCLC: Pembrolizumab 5 mg/kg Q3W (Part E-Not Enrolled),Participants were to receive pembrolizumab IV at a dose of 5 mg/kg Q3W. No participants were enrolled in this arm.,,,,,,,,11
NCT01295827,Pembrolizumab,NCT01295827_A15,"December 11, 2018","December 13, 2019",Completed,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P15,NSCLC: Pembrolizumab 10 mg/kg Q3W (Part E-Not Enrolled),Participants were to receive pembrolizumab IV at a dose of 10 mg/kg Q3W. No participants were enrolled in this arm.,,,,,,,,11
NCT01295827,,NCT01295827_B13,"December 11, 2018","December 13, 2019",Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B13,Total,Total of all reporting groups,,,,,,,,11
